	Arg	gold
890	city lockdown	city coping lockdown th
891	city street	city street
892	city streets	city street
893	city whe	city whe
894	city wuhan	city wuhan
895	city wuhan shutting outbound flights trains contain new virus	police city quarantined china wuhan coronavirus
896	civil society organisations	civil society organisations
897	civil society organisations representatives haitian authorities doctors	civil society organisations representatives haitian authorities doctors
898	cle	cle
899	cle featuring debi taylor tate tricia herzfeld discussing opiod epidemic	cle featuring debi taylor tate tricia herzfeld discussing opiod epidemic
900	clean room offer sacrifices god	clean room offer sacrifices god
901	clear new wuhan virus test emergency use authorization	wuhan virus
902	climatechange bacterial viruses	bacteria viruses lab
903	clinical guidance infectio	clinical guidance infectio
904	clinicians	patients
905	clipboard guy ebola outbreak	clipboard guy ebola outbreak
906	clippers	clippers
907	closely monitoring outbreak pneumonia	chinese authorities botch response viral pneumonia outbreak
908	closing casinos	closing casinos
909	cold - like symptoms serious infants older adults	cold - like symptoms serious infants older adults
910	collaboration countries	collaboration countries
911	collapse	collapse
912	collapsed street coronavirus	collapsed street coronavirus
913	column wuhan gov ’	city wuhan
914	combat opioid epidemic	opioid epidemic
915	combating opioid crisis one top priorities	combating opioid crisis one top priorities
916	coming fedex qingdao china	coming fedex qingdao china
917	coming wuhan illegal post china that	coming wuhan illegal post china that
918	commentary vaping panic	commentary vaping panic
919	committee	committee
920	common good crippled	common good crippled
921	communicate	communicate
922	communist	communist
923	community work	community work
924	comorbidities among persons currently living wit	comorbidities among persons currently living wit
925	companies '	employers
926	con crud	con crud
927	concerned citizens concerned citizens	citizens
928	concerns	concerns
929	conditions worse oxf	conditions worse oxf
930	conduct kind research	conduct kind research
931	conference	campus tuesday
932	confidence cdc	confidence cdc
933	confirmation death toll	confirmation death toll
934	confirmed patient wuhancoronavirus washington cdc	first case wuhancoronavirus
935	confirmed wuhancoronavirus	wuhancoronavirus
936	congress	congress
937	connect dots this works everyone steps represent respecti	connect dots this works everyone steps represent respecti
938	connecting flight	connecting flight
939	connecting flights	connecting flights
940	consensus	consensus
941	conser	conser
942	conspiracy theories i ’m pretty sure tamiflu outpatient use one	conspiracy theories i ’m pretty sure tamiflu outpatient use one
943	conspiracy theories i ’m pretty sure tamiflu outpatient use one it ’s noon i ’ve talked 3 people tamiflu far	conspiracy theories i ’m pretty sure tamiflu outpatient use one
944	construction company	construction company
945	construction mobile hospital	a video hospital
946	construction mobile hospital accommodate 1000 coronovirus patient	construction mobile hospital accommodate 1000 coronovirus patient
947	consumption undercooked	consumption undercooked
948	consumption wild animals	consumption wild animals
949	contact	contact
950	contact sick people	contact sick people
951	contain coronavirus	contain coronavirus
952	contain rapidly - sprea	contain rapidly - sprea
953	contain spread coronavirus ucsf 's dr .	contain coronavirus
954	contracting deadly coronavirus quarantined brazos county	contracting deadly coronavirus quarantined brazos county
955	control coronavirus narrative	control coronavirus narrative
956	conversations abuse	conversations abuse
957	conversations with asiya	conversations with asiya
958	cookie prefs point michael likes pumpkin pie	cookie prefs point michael likes pumpkin pie
959	cooking dogs alive wuhan	cooking dogs alive wuhan
960	core principle	core principle
961	cornell	cornell
962	corona	corona
963	corona beer sales	corona beer sales
964	corona drinkers	corona beer sales
965	corona shitty beer	corona beer sales
966	corona shitty beer really claim there 's coronavirus outbreak	corona shitty beer really claim there 's coronavirus outbreak
967	corona virus	coronavirus
968	corona virus italy	coronavirus
969	coronavirus	coronavirus
970	coronavirus * * virus ale * * first case deadly coronavirus	coronavirus confirmed us case
971	coronavirus - dedicated em	coronavirus - dedicated em
972	coronavirus - reports	coronavirus
973	coronavirus 1030am	coronavirus
974	coronavirus @seatacairport	coronavirus
975	coronavirus believed source current outbreak	coronavirus believed source current outbreak
976	coronavirus case in seattle	coronavirus case in seattle
977	coronavirus case in seattle expects more cases to come	coronavirus case in seattle
978	coronavirus case in seattle expects more cases to come – real conservatives unite	coronavirus case in seattle
979	coronavirus china	wuhan coronavirus
980	coronavirus confirmed us case	coronavirus confirmed us case
981	coronavirus could passed humans bats	chinese people eating bats as experts link animal coronavirus outbreak
982	coronavirus could turn epidemic	coronavirus
983	coronavirus countries	areas affected coronavirus
984	coronavirus cover - up china	chinese fear authorities withholding information coronavirus outbreak
985	coronavirus deadly new virus	deadly coronavirus
986	coronavirus epidemic	coronavirus
987	coronavirus four	coronavirus
988	coronavirus head	coronavirus
989	coronavirus head @who dr tedros @drtedros	coronavirus
990	coronavirus hk	wuhan coronavirus
991	coronavirus information western new york the cdc	coronavirus
992	coronavirus live updates china	wuhan coronavirus
993	coronavirus ncov	coronavirus ncov
994	coronavirus ncov ncov2019	suspected case 2019 novel coronavirus
995	coronavirus ncov2019 wuhan china coronavirusoutbreak	wuhan coronavirus
996	coronavirus originated wuhan china what no one wants talk about	wuhan coronavirus
997	coronavirus outbreak	coronavirus
998	coronavirus outbreak ' global emergency ' foxbusiness	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
999	coronavirus outbreak 10 times worse sars	coronavirus outbreak 10 times worse sars
1000	coronavirus outbreak 10 times worse sars coronavirus corona wuhan	coronavirus outbreak 10 times worse sars
1001	coronavirus outbreak 5 6 people observation	coronavirus outbreak 5 6 people observation
1002	coronavirus outbreak began wuhan china	wuhan coronavirus
1003	coronavirus outbreak cancelling massive lunar new year gatherings usually	coronavirus outbreak cancelling massive lunar new year gatherings usually
1004	coronavirus outbreak china	wuhan coronavirus
1005	coronavirus outbreak china consultation local state publichealth	wuhan coronavirus
1006	coronavirus outbreak china sicke	wuhan coronavirus
1007	coronavirus outbreak china snakes	coronavirus outbreak china snakes
1008	coronavirus outbreak coronavirusoutbreak	coronavirusoutbreak
1009	coronavirus outbreak could spread levels seen since s	coronavirus
1010	coronavirus outbreak hospitals	coronavirus outbreak hospitals
1011	coronavirus outbreak large enough quarantine	coronavirus outbreak large enough quarantine
1012	coronavirus outbreak linked bat soup sold wuhan market china	chinese food market epicentre deadly virus outbreak
1013	coronavirus outbreak new paper belfer center 's security	coronavirus
1014	coronavirus outbreak not international emergency - despite 600 reported china 10 ot	wuhan coronavirus
1015	coronavirus outbreak pu	coronavirus
1016	coronavirus outbreak really us simulated world population round	coronavirus outbreak really us simulated world population round
1017	coronavirus outbreak th	coronavirus
1018	coronavirus outbreak wuhan huanggang	wuhan coronavirus
1019	coronavirus quarantine chinese government work	wuhan coronavirus
1020	coronavirus recommendations healthcare providers united states	coronavirus outbreak hospitals
1021	coronavirus represents high risk whol	coronavirus
1022	coronavirus risk public low cdc	coronavirus
1023	coronavirus screening	coronavirus screening
1024	coronavirus screening two u.s . airports	airport checks coronavirus
1025	coronavirus situation	coronavirus
1026	coronavirus snakes	deadly coronavirus snakes
1027	coronavirus spreading particularly wuhan china	wuhan coronavirus
1028	coronavirus studies	coronavirus
1029	coronavirus t - ending	coronavirus
1030	coronavirus t - ending shows fictional epidemic starting	control coronavirus narrative
1031	coronavirus traveling wuhan - pa	wuhan coronavirus
1032	coronavirus uk	coronavirus
1033	coronavirus us	coronavirus
1034	coronavirus uses human	coronavirus
1035	coronavirus victim collapsed street wuhan another	coronavirus victim collapsed street wuhan another
1036	coronavirus warning level	coronavirus warning level
1037	coronavirus wuhan china wisma putra	coronavirus wuhan china wisma putra
1038	coronavirus wuhan male	suspected case wuhan coronavirus
1039	coronavirus wuhancoronavirus coronovirus theovalonbet wef20	coronavirus
1040	coronavirus yet global public health emergency	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
1041	coronaviruses	coronavirus
1042	coronaviruses status th	coronavirus
1043	coronavirusoutbreak	coronavirusoutbreak
1044	coronavirusoutbreak survival outbreak	coronavirusoutbreak
1045	coronoavirus	1000 coronovirus patient
1046	coronovirus	1000 coronovirus patient
1047	coronovirus outbreak china	china coronovirus nonsense
1048	coronovirus wuhan	coronovirus wuhan
1049	coughi	coughi
1050	coughin immediately write	coughin immediately write
1051	coughing people	coughing people
1052	could tianjin wuhan	could tianjin wuhan
1053	council	city government
1054	countless lives	countless lives
1055	countries	countries
1056	countries manage new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
1057	country	country
1058	county	county
1059	county health district	county health district
1060	county health officials	county health district
1061	county texas	county texas
1062	county texas health officials	county health district
1063	county tx health district	county health district
1064	countynews appalachian counties	county
1065	courage wuhan	city wuhan
1066	courtroom thursday filing lawsuit agai	courtroom thursday filing lawsuit agai
1067	cov - infected doctor	18 m viral outbreak
1068	cover fact biolab world ’s hazardous viruses	cover fact biolab world ’s hazardous viruses
1069	cover planters	cover planters
1070	coverage	coverage
1071	covered	covered
1072	coworkers coughing	coworkers coughing
1073	cracking cities counties file lawsuits big corporations	cracking cities counties file lawsuits big corporations
1074	crazy p	p
1075	cream	cream
1076	criminal activities	criminal activities
1077	criminals	criminal activities
1078	crisis	crisis
1079	critical treat	critical treat
1080	criticism	criticism
1081	critics	critics
1082	cros	cros
1083	crowded hospital	crowded hospital
1084	crucial first days	crucial first days
1085	crudeoil	crudeoil
1086	cruz 's	cruz 's
1087	culprit coronavirus	coronavirus
1088	curb coronavirus outbreak	contain coronavirus
1089	current future healthcare preparedness efforts	current future healthcare preparedness efforts
1090	current future healthcare preparedness efforts gaps outbreaks lethal diseases like ebola wuhan coronavirus happen regularly	current future healthcare preparedness efforts gaps outbreaks lethal diseases like ebola wuhan coronavirus happen regularly
1091	current mapping	current mapping
1092	current outbreak engineered	current outbreak engineered
1093	cyn 1b relief funds	cyn 1b relief funds
1094	daily mail onl	daily mail onl
1095	dallas hospitals	several dallas hospitals
1096	danger	danger
1097	dangerous cost	dangerous cost
1098	dangerous lot people getting vs mers	dangerous lot people getting vs mers
1099	data	big data
1100	data given chinese government many people infected died coronavirus	data given chinese government many people infected died coronavirus
1101	data paper zhou et al wuhan	data paper zhou et al wuhan
1102	data point	data point
1103	database ncov2019	database ncov2019
1104	database ncov2019 we d archiving	database ncov2019
1105	date	date
1106	david hooper	david hooper
1107	dea	dea
1108	dea fda cdc fail	cdc
1109	dead coronavirus outbreak.⁣	dead coronavirus outbreak.⁣
1110	deadbeat dad hunter biden	deadbeat dad hunter biden
1111	deadly	deadly
1112	deadly china outbreak	deadly china outbreak
1113	deadly china outbreak i seen movie contagion i ’m terrified	deadly china outbreak
1114	deadly corona virus cdc	deadly coronavirus
1115	deadly corona virus cdc announced first u.s . case week	coronavirus confirmed us case
1116	deadly coronavirus	deadly coronavirus
1117	deadly coronavirus claimed 17 lives	17 people confirmed dead coronavirus outbreak.⁣
1118	deadly coronavirus kille	deadly coronavirus
1119	deadly coronavirus outbreak	coronavirus
1120	deadly coronavirus snakes	deadly coronavirus snakes
1121	deadly coronavirus snakes sold wuhan market coronavirusoutbreak	coronavirus outbreak china snakes
1122	deadly di	deadly di
1123	deadly epidemic flarin	deadly epidemic flarin
1124	deadly fentanyl overdoses	deadly fentanyl overdoses
1125	deadly germs tembisa hospital	deadly germs tembisa hospital
1126	deadly new one	deadly
1127	deadly new virus	deadly virus
1128	deadly outbreak	outbreak
1129	deadly outbreak | sou	deadly outbreak | sou
1130	deadly sars - like virus outbreak	coronavirus outbreak 10 times worse sars
1131	deadly strain sh	deadly strain sh
1132	deadly virus	deadly virus
1133	deadly virus coronavirus coronavirusoutbreak	coronavirusoutbreak
1134	deadly virus outbreak china	a new virus spreading china
1135	deadly wuhan virus	wuhan virus
1136	death	death
1137	death rate spanish flu pandemic	breaking coronavirus death toll
1138	death toll	confirmation death toll
1139	death toll climbs mor	death toll climbs mor
1140	death toll new coronavirus risen	17 people confirmed dead coronavirus outbreak.⁣
1141	death united states	death united states
1142	debi taylor tate tricia herzfeld	debi taylor tate tricia herzfeld
1143	debi taylor tate tricia herzfeld discussing opiod epidemic	debi taylor tate tricia herzfeld discussing opiod epidemic
1144	dec . 8 local gove	dec . 8 local gove
1145	decades	years
1146	deceiving	deceiving
1147	decision	decision
1148	declare coronavirus outbreak pu	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
1149	declare global emergency wuhan coronavirus spread c	breaking wuhan coronavirus
1150	declare global health emergency yet	declare global health emergency yet
1151	declare international public health emergency coronavirus outbreak	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
1152	declared	declared
1153	declines last in 47 years since roevwade 60 million unborn childrens ’ lives ended soon	declines last in 47 years since roevwade 60 million unborn childrens ’ lives ended soon
1154	dedicated coronavirus hospital	coronavirus outbreak hospitals
1155	dedicated leaders	dedicated leaders
1156	deep	deep
1157	delay release lunar new year movie slate china amid virus outbre	delay release lunar new year movie slate china amid virus outbre
1158	delays treatment pat	delays treatment pat
1159	delete phone number reports	delete phone number reports
1160	delete phone number reports say foxnews	delete phone number reports
1161	delta	delta
1162	dem	democrats
1163	demand outlooks	demand outlooks
1164	demand protect population	demand protect population
1165	democratic institutions matter	democratic institutions matter
1166	democratic leaders	congress
1167	democrats	democrats
1168	democrats ' impeachment fixation	democrats ' impeachment fixation
1169	dense	dense
1170	dense breasts read new resource learn	dense breasts read new resource learn
1171	department cdc	cdc
1172	deserted city street	deserted city street
1173	destroying cdc samples russian	china cdc identify source
1174	detailed bioinformatics analysis sequence	detailed bioinformatics analysis sequence
1175	detailed information website cdc	detailed information website cdc
1176	details	details
1177	develop my op ed today ’s @washingtonpost coronavirusoutbreak	develop my op ed today ’s @washingtonpost coronavirusoutbreak
1178	develop vaccines deadly wuhan c	a vaccine wuhan coronavirus
1179	developing baby diseases	developing baby diseases
1180	developing wuhan ’s hospitals	breaking the patient recently traveled wuhan china illness
1181	development surveillance	development surveillance
1182	developments	developments
1183	developments concerning coronavirus wuhan china wisma putra	coronavirus wuhan china wisma putra
1184	di the cdc reportedly forced downsize close operations 39 countries 2019 due massive budget cuts	di the cdc reportedly forced downsize close operations 39 countries 2019 due massive budget cuts
1185	diagnostic test coronavirus	coronavirus screening
1186	difference china di	difference china di
1187	difference whatsoever	difference whatsoever
1188	different races	different races
1189	different races predisposed health risks ridiculous it ’s probably fro	different races predisposed health risks ridiculous it ’s probably fro
1190	different things	different things
1191	different viruses	virus
1192	difficult stop	difficult stop
1193	digital bridge	digital bridge
1194	dignity	dignity
1195	dippin ’ dots epidemic	dippin ’ dots epidemic
1196	dire situation wuhan ’s overcrowded hospitals	breaking the patient recently traveled wuhan china illness
1197	director - general @drtedros	director - general @drtedros
1198	discount one	discount one
1199	discuss lgbtq issues	discuss lgbtq issues
1200	diseas	deadly di
1201	disease	disease
1202	disease - modeling experts imperial college london	disease - modeling experts imperial college london
1203	disease like coronavirus	coronavirus
1204	disease spreading	disease spreading
1205	diseases	disease
1206	disgusting chinese market center coronavirus outbreak	chinese food market epicentre deadly virus outbreak
1207	disinfect contaminated area discovery mutated virus	cover fact biolab world ’s hazardous viruses
1208	disinfectants	disinfectants
1209	disinfo	disinfo
1210	disinfo spread chinese social media th	disinfo spread chinese social media th
1211	disinformation	disinfo
1212	dismal lunar new year economy crumbles disease looms	dismal lunar new year economy crumbles disease looms
1213	disp	disp
1214	dna study	dna study
1215	doc fever fever doc	doc fever fever doc
1216	doctor	doctor
1217	doctor emergency room hours	doctor emergency room hours
1218	doctor “ cdc survey	new cdc study
1219	doctors	doctors
1220	doctors local hospitals shanghai	hospital china
1221	doctors local hospitals shanghai headed wuhan hubei province thursday af	breaking the patient recently traveled wuhan china illness
1222	doctors stopped antibiotics give body	antibiotics give body
1223	dogs	animals
1224	dogs going get fleas	dogs going get fleas
1225	doing	doing
1226	donations	donations
1227	done 😂 🤣 jk this china everyone needs get vaccine	done 😂 🤣 jk this china everyone needs get vaccine
1228	doomsday clock going 100 seconds australia fire coronavirus trending	doomsday clock going 100 seconds australia fire coronavirus trending
1229	doomsday clock going 100 seconds midnight australia fire coronavirus trending	doomsday clock going 100 seconds australia fire coronavirus trending
1230	doors potential homeowners providing housing counseling financial literacy trai	doors potential homeowners providing housing counseling financial literacy trai
1231	dos ncov coronavirus	coronavirus
1232	dots	dots
1233	doubt	doubt
1234	dr . anthony fauci	dr . anthony fauci
1235	dr . kerry chant	dr . kerry chant
1236	dr landry	doctor
1237	dramatically reduce patient	dramatically reduce patient
1238	drastic drop sales amid new coronavirus outbreak	drastic drop sales amid new coronavirus outbreak
1239	droplets	droplets
1240	drug patented	drug patented
1241	drug patented already need outbreak let virus loose	the patent virus attenuation process
1242	drug targets wuhan coronavirus	suspected case wuhan coronavirus
1243	dry skin	dry skin
1244	ds operatives	ds operatives
1245	dubai international airport world 's busiest international travel	dubai international airport world 's busiest international travel
1246	due risks associated	due risks associated
1247	dumb ass govt catches wuhancoronavirus wanna save face telling the govt officials wear masks press con	dumb ass govt catches wuhancoronavirus wanna save face telling the govt officials wear masks press con
1248	dying measles	dying measles
1249	dyk flu virus	dyk flu virus
1250	dylann roof get gun	dylann roof get gun
1251	e - cigarette	e - cigarette
1252	e - cigarette interests	@american_heart fight youth e - cigarette use vaping
1253	e - cigarette interests distort evidence	e - cigarette interests distort evidence
1254	e - cigarette interests distort evidence cite purported smoking cessation	e - cigarette interests distort evidence
1255	e - cigarettes	e - cigarette
1256	e - cigarettes vaping devices responsible serious injuries deaths	e - cigarettes vaping devices responsible serious injuries deaths
1257	early call coronavirusoutbreak global emergency	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
1258	early call coronavirusoutbreak global emergency killed 17 people inf	17 people confirmed dead coronavirus outbreak.⁣
1259	early declare coronavirus outbreak china public h	wuhan coronavirus
1260	early discoveries cdc handle	early discoveries cdc handle
1261	earnings deluge china ’s efforts	earnings deluge china ’s efforts
1262	earth flights	earth flights
1263	earthquake kylekuzma impeachment wuhancoronavirus derekjeter ozzyosbourne	earthquake kylekuzma impeachment wuhancoronavirus derekjeter ozzyosbourne
1264	easier trump	easier trump
1265	east africa	east africa
1266	east africa experiencing serious outbreak locusts	east africa experiencing serious outbreak locusts
1267	east china 's jiangsu province	wuhan china
1268	eat	eat
1269	eat bat soup	bat soup
1270	eat gas station sushi wuhan china wash mexican tap water	eat gas station sushi wuhan china wash mexican tap water
1271	eat meat	eat meat
1272	eating healthy	eating healthy
1273	ebola loves africans	ebola loves africans
1274	ebola outbreak	ebola outbreak
1275	ec	ec
1276	ecigarettes	ecigarettes
1277	ecigarettes might disp	ecigarettes might disp
1278	economic impact coronavirus outbreak	$ 10 virus outbreak
1279	economic risk	economic risk
1280	edit function	edit function
1281	effective screening	effective screening
1282	effective treating coronavirus infections	contain coronavirus
1283	effective treating sars coronavirus infections	sars
1284	effective well matched circulating viruses year ’s flu vac	effective well matched circulating viruses year ’s flu vac
1285	effort	effort
1286	effort stop coronavirus outbreak	contain coronavirus
1287	efforts	efforts
1288	efforts force hiv siv latency enhance treatment	efforts force hiv siv latency enhance treatment
1289	eight people	eight people
1290	either asian - american student	either asian - american student
1291	either lockdown limited lockdown	lockdown
1292	elected officials	elected officials
1293	emerg	emerg
1294	emergency approval	emergency approval
1295	emergency approval use diagnostic test	a diagnostic test
1296	emergency approval use diagnostic test coronavirus	coronavirus screening
1297	emergency committee	committee
1298	emergency coordination mask	emergency coordination mask
1299	emergency permission fda allow	emergency permission fda allow
1300	emergency response system 2019-ncov	emergency response system 2019-ncov
1301	emergency talks	emergency talks
1302	emergency use authorization	emergency use authorization
1303	employers	employers
1304	empty shelves supermarkets people stock city 11 million	empty shelves supermarkets people stock city 11 million
1305	end badly	end badly
1306	enhanced health screenings	enhanced health screenings
1307	enhanced travel screening	screening passengers
1308	enjoy new healthcare tweet	enjoy new healthcare tweet
1309	enough sars epidemic	enough sars epidemic
1310	enough water	enough water
1311	entire city	entire city
1312	entry health screening	enhanced health screenings
1313	entry screening passengers	screening passengers
1314	entry screening passengers direct connecting flights	entry screening passengers direct connecting flights
1315	enzyme	enzyme
1316	enzyme	enzyme
1317	epicenter coronavirusoutbreak	epicenter coronavirusoutbreak
1318	epicenter coronavirusoutbreak caused panic	epicenter coronavirusoutbreak
1319	epid	epid
1320	epidemic	epidemic
1321	epidemic aids	epidemic
1322	epidemic firefighter suicide	epidemic firefighter suicide
1323	epidemic incompetent corrupt government history	epidemic incompetent corrupt government history
1324	epidemic level	epidemic level
1325	epidemic response budget	epidemic response budget
1326	epidemic response group	epidemic response budget
1327	epidemic student loan debt	epidemic student loan debt
1328	escape virus outbreak	escape virus outbreak
1329	escape wuhan center coronavirus ep	breaking wuhan coronavirus
1330	especially	especially
1331	even china 's ivory ban	even china 's ivory ban
1332	even cold weather sun damage skin	even cold weather sun damage skin
1333	even doctors	. health officials
1334	even odder netflix	even odder netflix
1335	even odder netflix released pandemic mini - documentary earlier month	even odder netflix released pandemic mini - documentary earlier month
1336	even virus outbreak	even virus outbreak
1337	events like would become commonplace	events like would become commonplace
1338	ever happened ebola zika west nile virus swine flu measles outbreak recount	ever happened ebola zika west nile virus swine flu measles outbreak recount
1339	everett 's providence regional medical center	everett 's providence regional medical center
1340	every child	every child
1341	every person opportunity	every person opportunity
1342	every person opportunity live healthier life	every person opportunity live healthier life
1343	every woman reproductive age	every woman reproductive age
1344	everybody	everyone
1345	everyone	everyone
1346	everyone mild freak coronavirus worth pointing cdc	coronavirus
1347	everyone scrambling buy n95 masks according story	n95 masks
1348	everyone steps	everyone steps
1349	everyone who ’s mentioned con crud far	everyone who ’s mentioned con crud far
1350	everything	everything
1351	evidence	evidence
1352	evidence corona	evidence corona
1353	evidence first case scene cdc can	cdc — making 1st u.s . case
1354	ex - pharma merck - exec	ex - pharma merck - exec
1355	exact caus	exact caus
1356	exactly “ no containment	exactly “ no containment
1357	excuse	excuse
1358	exit screening	exit screening
1359	exotic animals food	afraid eat wild animals
1360	expand health entry screenings hartsfield	expand health entry screenings hartsfield
1361	expect find cases	expect find cases
1362	expect opioid therapy	opioid epidemic
1363	expectation death toll c	expectation death toll c
1364	expecting mothers	expecting mothers
1365	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5
1366	experience	evidence
1367	experience fighting opioid epidemic	opioid epidemic
1368	expert	expert
1369	expertise	expertise
1370	experts	expert
1371	explain launching jenny mccarthy climate denial campaign peer revi @thewillhobson @postsports our best scientific estimate 25 % nfl football player end cte	explain launching jenny mccarthy climate denial campaign peer revi @thewillhobson @postsports our best scientific estimate 25 % nfl football player end cte
1372	explicit message obama spreading ebola loves africans	ebola loves africans
1373	explosive speech on vaccines	explosive speech on vaccines
1374	extensive narrative	extensive narrative
1375	extensive narrative supporting trump 's conviction based articles sf international a	extensive narrative supporting trump 's conviction based articles sf international a
1376	extraordinary measures	emergency approval
1377	extraordinary transport in out	extraordinary transport in out
1378	extreme measures	measures
1379	extremely important ncov2019 research studies behind firewalls scientific journals	extremely important ncov2019 research studies behind firewalls scientific journals
1380	eye sugge	eye sugge
1381	face masks	masks
1382	face masks television modeling kind beha	masks
1383	facility	facility
1384	fact - finding miss	fact - finding miss
1385	fact i declaring pheic today taken sign wh	fact i declaring pheic today taken sign wh
1386	factbox china coronavirus outbreak	wuhan coronavirus
1387	factor	factor
1388	facts	facts
1389	faili	faili
1390	failing release	failing release
1391	failing release congressionally appropriated funds me rese	failing release congressionally appropriated funds me rese
1392	fake news	fake news
1393	family health history	family health history
1394	family winter	family winter
1395	family winter learning	family winter learning
1396	far busiest street metropolis 11	far busiest street metropolis 11
1397	far fewer toxins combustible cigarettes	far fewer toxins combustible cigarettes
1398	far national health commission experts	health officials
1399	far season least 13 million flu illnesses 120 000 hospitaliz	80 000 people died regular flu 2018
1400	far what 's going fake epidemic vaping flavored nicotine ejuice	far what 's going fake epidemic vaping flavored nicotine ejuice
1401	far worse mainstream media china letting	far worse mainstream media china letting
1402	fascinating news reports wuhancoronavirus	wuhancoronavirus
1403	fascinating news reports wuhancoronavirus distinctly explaining p	wuhancoronavirus
1404	fast - developing outbreak	fast - developing outbreak
1405	fast coronavirus test	faster coronavirus test screen
1406	fast drug store	fast drug store
1407	faster coronavirus test screen	faster coronavirus test screen
1408	fauci	fauci
1409	fda	health officials
1410	fears coronavirus outbreak	fears coronavirus outbreak
1411	fears mount	fears mount
1412	fears rising spread china 's deadly wuhan virus	wuhan virus
1413	fears scale novel	fears scale novel
1414	fears scale wuhancoronavirus	wuhancoronavirus
1415	fears scale wuhancoronavirus could 10x larger sars	fears scale wuhancoronavirus could 10x larger sars
1416	federal osha ’s guidance related evolving coronavirus outbreak	federal osha ’s guidance related evolving coronavirus outbreak
1417	fellow travel nerds	fellow travel nerds
1418	feminism southern baptist convention	feminism southern baptist convention
1419	ferries long - distance buses	ferries long - distance buses
1420	fever chest pain	fever chest pain
1421	fever vacation france	fever vacation france
1422	few fellow passengers	few fellow passengers
1423	fictional epidemic starting	fictional epidemic starting
1424	fifteen cases coronavirus officially reported among	coronavirus confirmed us case
1425	fight epidemic diseases emerg	fight epidemic diseases emerg
1426	fight virus	virus
1427	fight zika ebola	ever happened ebola zika west nile virus swine flu measles outbreak recount
1428	fighting food daily	fighting food daily
1429	figure	point
1430	final decision whether declare 2019-ncov outbreak international public health emergency live press conference emergency committee meeting new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
1431	financial markets across asia fell today	financial markets across asia fell today
1432	financial support treating patients pneumonia	financial support treating patients pneumonia
1433	find actual cause soon	find actual cause soon
1434	find info	find info
1435	find problems early wh	find problems early wh
1436	find problems start	find problems start
1437	fingers	fingers
1438	fingers crossed official “ epidemic ” tag h	fingers crossed official “ epidemic ” tag h
1439	fire coronavirus	coronavirus
1440	fire force	fire force
1441	firearm carrying us saves half million	firearm carrying us saves half million
1442	first 20 minutes news tonight anchors talking ab	first 20 minutes news tonight anchors talking ab
1443	first case	first case
1444	first case 2019 novel coronavirus 2019-ncov united states	suspected case 2019 novel coronavirus
1445	first case coronavirus	coronavirus confirmed us case
1446	first case coronavirus u.s	coronavirus confirmed us case
1447	first case coronavirus u.s . - oann	coronavirus confirmed us case
1448	first case coronavirus united states	coronavirus confirmed us case
1449	first case coronavirus united states resident traveling china hospital	first case coronavirus united states resident traveling china hospital
1450	first case coronavirus urges collaboration countries fight outbreak	coronavirus confirmed us case
1451	first case coronavirus us	coronavirus confirmed us case
1452	first case deadly coronavirus cdc	coronavirus confirmed us case
1453	first case deadly coronavirus cdc add entry health screening atl airport	airport checks coronavirus
1454	first case new china virus local media coronavirus ncov	suspected case wuhan coronavirus
1455	first case new coronavirus wuhan china	suspected case wuhan coronavirus
1456	first case novel coronavirus 2019-ncov	suspected case 2019 novel coronavirus
1457	first case novel coronavirus 2019-ncov traveller recently return	suspected case 2019 novel coronavirus
1458	first case pneumonia - like coronavirus	coronavirus confirmed us case
1459	first case u.s . confirmed @cdcgov	cdc — making 1st u.s . case
1460	first case viral pneumonia	first case viral pneumonia
1461	first case viral pneumonia wuhan reported dec . 8 local gove	ago wuhan pneumonia infectious among human beings
1462	first case wuhan coronavirus united states what employers need know @ogletreedeakins	first case wuhan coronavirus united states what employers need know @ogletreedeakins
1463	first case wuhan virus	wuhan virus
1464	first case wuhan virus cna coronovirus	coronovirus wuhan
1465	first case wuhancoronavirus	first case wuhancoronavirus
1466	first case wuhanvirus us washington state	first case wuhancoronavirus
1467	first china virus case	a new virus spreading china
1468	first confirmed case chinese coronavirus u.s . the patient man	first case coronavirus united states resident traveling china hospital
1469	first confirmed case deadly wuhan coronavirus infectiousdisease hospital heath	suspected case wuhan coronavirus
1470	first coronavirus case	coronavirus confirmed us case
1471	first emergency committee meeting response pneumonia	first emergency committee meeting response pneumonia
1472	first highly - suspected case wuhancoronavirus	first case wuhancoronavirus
1473	first medical worker infected 2019-ncov	first medical worker infected 2019-ncov
1474	first medical worker infected 2019-ncov first showed symptoms j	first medical worker infected 2019-ncov
1475	first press	first press
1476	first shots	first shots
1477	first suspected ncov wuhan pneumonia case	ago wuhan pneumonia infectious among human beings
1478	first travel - related case 2019 novel coronavirus	suspected case 2019 novel coronavirus
