	gold	narrative	brc	sum	ARG0	va_key	ARG1
440	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	the cdc ** DECREE_DECLARE ** us first confirmed case coronavirus new virus	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
441	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	the cdc ** SUMMARIZE ** coronavirus recommendations healthcare providers united states	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
442	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	the first u.s . case 2019 novel coronavirus ** INFORM ** state washington	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
443	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	us ** AFFIRM ** coronavirus * * virus ale * * first case deadly coronavirus	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
444	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	we ** AFFIRM ** cdc confirmed first u.s . case coronav	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
445	breakingnews ** AMELIORATE ** the first case coronavirus confirmed united states	what ** KNOW ** deadly corona virus cdc announced first u.s . case week	956	33	breakingnews	AMELIORATE	the first case coronavirus confirmed united states
446	breastcancer 2️⃣ 0️⃣ 2️⃣ ** LEARN ** family health history	breastcancer 2️⃣ 0️⃣ 2️⃣ ** LEARN ** family health history	1491	2	breastcancer 2️⃣ 0️⃣ 2️⃣	LEARN	family health history
447	breastcancer 2️⃣ 0️⃣ 2️⃣ ** LEARN ** family health history	steps ** PRECLUDE_FORBID_EXPEL ** breastcancer 2️⃣ 0️⃣ 2️⃣ 0️⃣ start learning family health history	1491	2	breastcancer 2️⃣ 0️⃣ 2️⃣	LEARN	family health history
448	buses ** OBLIGE_FORCE ** ferries long - distance buses	buses ** OBLIGE_FORCE ** ferries long - distance buses	451	3	buses	OBLIGE_FORCE	ferries long - distance buses
449	bush airport post flyer ** WARN ** coronavirus confirmed us case	bush airport post flyer ** WARN ** coronavirus confirmed us case	608	1	bush airport post flyer	WARN	coronavirus confirmed us case
450	business traveler @cdc ** CIRCULATE_SPREAD_DISTRIBUTE ** faster coronavirus test screen	business traveler @cdc ** CIRCULATE_SPREAD_DISTRIBUTE ** faster coronavirus test screen	892	3	business traveler @cdc	CIRCULATE_SPREAD_DISTRIBUTE	faster coronavirus test screen
451	business traveler @cdc ** CIRCULATE_SPREAD_DISTRIBUTE ** faster coronavirus test screen	cdc ** CIRCULATE_SPREAD_DISTRIBUTE ** faster coronavirus test screen	892	3	business traveler @cdc	CIRCULATE_SPREAD_DISTRIBUTE	faster coronavirus test screen
452	business traveler @cdc ** CIRCULATE_SPREAD_DISTRIBUTE ** faster coronavirus test screen	cdc ** LOAD_PROVIDE_CHARGE_FURNISH ** fast coronavirus test	892	3	business traveler @cdc	CIRCULATE_SPREAD_DISTRIBUTE	faster coronavirus test screen
453	busta rhymes ** SING ** global pandemic called wuhan got you all in check	busta rhymes ** SING ** global pandemic called wuhan got you all in check	533	1	busta rhymes	SING	global pandemic called wuhan got you all in check
454	buzzwords ** OFFEND_DISESTEEM ** body	buzzwords ** OFFEND_DISESTEEM ** body	1737	3	buzzwords	OFFEND_DISESTEEM	body
455	byrne jeff niederdeppe ** LEAD_GOVERN ** 4-college team spanni	byrne jeff niederdeppe ** LEAD_GOVERN ** 4-college team spanni	1692	1	byrne jeff niederdeppe	LEAD_GOVERN	4-college team spanni
456	caixin ** INFORM ** multiple local doctors wuhan estimate number cases new coronavirus may high 6000	caixin ** INFORM ** multiple local doctors wuhan estimate number cases new coronavirus may high 6000	846	1	caixin	INFORM	multiple local doctors wuhan estimate number cases new coronavirus may high 6000
457	canada ** PREPARE ** new coronavirus 17 years deadly sars epidemic	canada ** PREPARE ** new coronavirus 17 years deadly sars epidemic	1023	3	canada	PREPARE	new coronavirus 17 years deadly sars epidemic
458	canada health minister patty hajdu ** AFFIRM ** coronavirus outbreak 5 6 people observation	canada health minister patty hajdu ** AFFIRM ** coronavirus outbreak 5 6 people observation	847	1	canada health minister patty hajdu	AFFIRM	coronavirus outbreak 5 6 people observation
459	canadian deer hunters ** CORRELATE ** consumption undercooked	canadian deer hunters ** CORRELATE ** consumption undercooked	1517	1	canadian deer hunters	CORRELATE	consumption undercooked
460	canadians ** BELIEVE ** handle ep	canadians ** BELIEVE ** handle ep	27	1	canadians	BELIEVE	handle ep
461	cancer patients ** ENDANGER ** immune systems treatment	cancer patients ** ENDANGER ** immune systems treatment	1350	4	cancer patients	ENDANGER	immune systems treatment
462	cannabis legalization ** EXIST-WITH-FEATURE ** useful tool combatting opioid epidemic	alcohol ** KILL ** more people than the opioid epidemic	1068	9	cannabis legalization	EXIST-WITH-FEATURE	useful tool combatting opioid epidemic
463	cannabis legalization ** EXIST-WITH-FEATURE ** useful tool combatting opioid epidemic	cannabis legalization ** EXIST-WITH-FEATURE ** useful tool combatting opioid epidemic	1068	9	cannabis legalization	EXIST-WITH-FEATURE	useful tool combatting opioid epidemic
464	ccp ** USE ** masks	ccp ** USE ** masks	343	1	ccp	USE	masks
465	cdc ** AFFIRM ** 2000 time	cdc ** AFFIRM ** 2000 time	1492	3	cdc	AFFIRM	2000 time
466	cdc ** AFFIRM ** 2000 time	cdc ** AFFIRM ** first case	1492	3	cdc	AFFIRM	2000 time
467	cdc ** AFFIRM ** 2000 time	cdc ** AFFIRM ** 👇	1492	3	cdc	AFFIRM	2000 time
468	cdc ** AFFIRM ** coronavirus case in seattle expects more cases to come	cdc ** AFFIRM ** coronavirus case in seattle expects more cases to come	955	3	cdc	AFFIRM	coronavirus case in seattle expects more cases to come
469	cdc ** AFFIRM ** e - cigarettes vaping devices responsible serious injuries deaths	cdc ** AFFIRM ** e - cigarettes vaping devices responsible serious injuries deaths	1518	2	cdc	AFFIRM	e - cigarettes vaping devices responsible serious injuries deaths
470	cdc ** AFFIRM ** e - cigarettes vaping devices responsible serious injuries deaths	cdc data ** SHOW ** thc vape products play ‘ major role ’ evali joanne cachapero via mg magazine – cannabis news in	1518	2	cdc	AFFIRM	e - cigarettes vaping devices responsible serious injuries deaths
471	cdc ** AGREE_ACCEPT ** risk	cdc ** AGREE_ACCEPT ** risk	1519	2	cdc	AGREE_ACCEPT	risk
472	cdc ** AGREE_ACCEPT ** risk	cdc study ** RESULT_CONSEQUENCE ** 90	1519	2	cdc	AGREE_ACCEPT	risk
473	cdc ** DECREE_DECLARE ** tuesday first case	cdc ** DECREE_DECLARE ** tuesday first case	1465	1	cdc	DECREE_DECLARE	tuesday first case
474	cdc ** EMIT ** official statement	cdc ** EMIT ** official statement	1412	2	cdc	EMIT	official statement
475	cdc ** EMIT ** official statement	cdc ** RECORD ** new warning signs	1412	2	cdc	EMIT	official statement
476	cdc ** FIND ** mmr vaccine increased risk autism black boys	cdc ** FIND ** mmr vaccine increased risk autism black boys	1520	14	cdc	FIND	mmr vaccine increased risk autism black boys
477	cdc ** INFORM ** years - long decline annual hiv cases stopped new cases stabilized	cdc ** INFORM ** years - long decline annual hiv cases stopped new cases stabilized	1318	4	cdc	INFORM	years - long decline annual hiv cases stopped new cases stabilized
478	cdc ** INFORM ** years - long decline annual hiv cases stopped new cases stabilized	years - long decline annual hiv cases ** STOP ** new cases stabilized	1318	4	cdc	INFORM	years - long decline annual hiv cases stopped new cases stabilized
479	cdc ** LOAD_PROVIDE_CHARGE_FURNISH ** update digital bridge electronic case reporting implementation progress	cdc ** LOAD_PROVIDE_CHARGE_FURNISH ** update digital bridge electronic case reporting implementation progress	1566	1	cdc	LOAD_PROVIDE_CHARGE_FURNISH	update digital bridge electronic case reporting implementation progress
480	cdc ** MANAGE ** pandemic	cdc ** MANAGE ** pandemic	893	2	cdc	MANAGE	pandemic
481	cdc ** MANAGE ** pandemic	cdc resources ** PROTECT ** others getting spreading respiratory illnesses like pandemic flu	893	2	cdc	MANAGE	pandemic
482	cdc ** OBTAIN ** emergency use authorization	cdc ** OBTAIN ** emergency use authorization	1413	2	cdc	OBTAIN	emergency use authorization
483	cdc ** OBTAIN ** emergency use authorization	health officials ** SEARCH ** emergency approval	1413	2	cdc	OBTAIN	emergency use authorization
484	cdc ** OPERATE ** emergency response system 2019-ncov	cdc ** OPERATE ** emergency response system 2019-ncov	1024	1	cdc	OPERATE	emergency response system 2019-ncov
485	cdc ** PROPOSE ** get whooping cough	cdc ** PROPOSE ** get whooping cough	1414	3	cdc	PROPOSE	get whooping cough
486	cdc ** PROPOSE ** get whooping cough	cdc ** RECOGNIZE_ADMIT_IDENTIFY ** whooping cough vaccine causing bordetella pertussis mutation	1414	3	cdc	PROPOSE	get whooping cough
487	cdc ** PROPOSE ** get whooping cough	whooping cough vaccine ** CAUSE-SMT ** bordetella pertussis mutation learntherisk	1414	3	cdc	PROPOSE	get whooping cough
488	cdc ** PROPOSE ** travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory	cdc ** PROPOSE ** travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory	566	5	cdc	PROPOSE	travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory
489	cdc ** PROPOSE ** travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory	travelers ** ABSTAIN_AVOID_REFRAIN ** nonessential travel wuhan china due ongoing outbreak respiratory	566	5	cdc	PROPOSE	travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory
490	cdc ** PROPOSE ** travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory	travelers parts china wuhan ** ABSTAIN_AVOID_REFRAIN ** contact sick people	566	5	cdc	PROPOSE	travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory
491	cdc ** RAISE ** coronavirus warning level	cdc ** RAISE ** coronavirus warning level	957	1	cdc	RAISE	coronavirus warning level
492	cdc ** RAISE ** watch level for travel to china	cdc ** RAISE ** watch level for travel to china	534	6	cdc	RAISE	watch level for travel to china
493	cdc ** RAISE ** watch level for travel to china	the @cdc ** AFFIRM ** begin conducting health screenings travelers arriving central china 5	534	6	cdc	RAISE	watch level for travel to china
494	cdc ** RAISE ** watch level for travel to china	the cdc issued level 3 travel warning ** ABSTAIN_AVOID_REFRAIN ** nonessential travel wuhan state department 's lev	534	6	cdc	RAISE	watch level for travel to china
495	cdc ** RECOGNIZE_ADMIT_IDENTIFY ** huge mis	cdc ** RECOGNIZE_ADMIT_IDENTIFY ** huge mis	1567	2	cdc	RECOGNIZE_ADMIT_IDENTIFY	huge mis
496	cdc ** REPRESENT ** risk virus low	cdc ** REPRESENT ** risk virus low	894	1	cdc	REPRESENT	risk virus low
497	cdc ** REQUIRE_NEED_WANT_HOPE ** act	cdc ** REQUIRE_NEED_WANT_HOPE ** act	1375	3	cdc	REQUIRE_NEED_WANT_HOPE	act
498	cdc ** REQUIRE_NEED_WANT_HOPE ** act	cdc who agree risk ** REQUIRE_NEED_WANT_HOPE ** choice	1375	3	cdc	REQUIRE_NEED_WANT_HOPE	act
499	cdc ** REQUIRE_NEED_WANT_HOPE ** act	everybody ** REQUIRE_NEED_WANT_HOPE ** health safety	1375	3	cdc	REQUIRE_NEED_WANT_HOPE	act
500	cdc ** SUBJECTIVE-JUDGING ** serious public health concern	cdc ** SUBJECTIVE-JUDGING ** serious public health concern	1521	1	cdc	SUBJECTIVE-JUDGING	serious public health concern
501	cdc ** VERIFY ** several people	cdc ** VERIFY ** several people	1522	1	cdc	VERIFY	several people
502	cdc ** VIOLATE ** ds operatives	cdc ** VIOLATE ** ds operatives	1523	3	cdc	VIOLATE	ds operatives
503	cdc ** VIOLATE ** ds operatives	i ** BELIEVE ** cdc infiltrated ds operatives	1523	3	cdc	VIOLATE	ds operatives
504	cdc ** VIOLATE ** ds operatives	missing cdc employee ** SPEAK ** delete phone number reports say foxnews	1523	3	cdc	VIOLATE	ds operatives
505	cdc ** WORK ** to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico	cdc ** WORK ** to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico	973	2	cdc	WORK	to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico
506	cdc ** WORK ** to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico	u.s . cdc ** SEARCH ** emergency approval use diagnostic test coronavirus	973	2	cdc	WORK	to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico
507	cdc @cdcemergency ** AFFIRM ** us case coronavirus 2019ncov seattle wa	cdc @cdcemergency ** AFFIRM ** us case coronavirus 2019ncov seattle wa	1025	1	cdc @cdcemergency	AFFIRM	us case coronavirus 2019ncov seattle wa
508	cdc brownsville ** OPEN ** doors potential homeowners providing housing counseling financial literacy trai	cdc brownsville ** OPEN ** doors potential homeowners providing housing counseling financial literacy trai	1524	1	cdc brownsville	OPEN	doors potential homeowners providing housing counseling financial literacy trai
509	cdc data ** SHOW ** 78 % teens not name	cdc data ** SHOW ** 78 % teens not name	1525	2	cdc data	SHOW	78 % teens not name
510	cdc officials ** AFFIRM ** expect find cases	cdc officials ** AFFIRM ** expect find cases	1527	1	cdc officials	AFFIRM	expect find cases
511	cdc officials ** PUT_APPLY_PLACE_PAVE ** hartsfield - jackson list airports	cdc officials ** PUT_APPLY_PLACE_PAVE ** hartsfield - jackson list airports	452	1	cdc officials	PUT_APPLY_PLACE_PAVE	hartsfield - jackson list airports
512	cdc ’s ** HELP_HEAL_CARE_CURE ** vaers	cdc ’s ** HELP_HEAL_CARE_CURE ** vaers	1466	2	cdc ’s	HELP_HEAL_CARE_CURE	vaers
513	cdc ’s ** HELP_HEAL_CARE_CURE ** vaers	new three people ** HELP_HEAL_CARE_CURE ** suspected cases	1466	2	cdc ’s	HELP_HEAL_CARE_CURE	vaers
514	cdc ’s vaers - vaccine adverse events ** INFORM ** system less th	cdc ’s vaers - vaccine adverse events ** INFORM ** system less th	1415	1	cdc ’s vaers - vaccine adverse events	INFORM	system less th
515	cdc ’s work tanzania ** HELP_HEAL_CARE_CURE ** save lives programs reduce mother - to - child hiv transmission suppo	cdc ’s work tanzania ** HELP_HEAL_CARE_CURE ** save lives programs reduce mother - to - child hiv transmission suppo	1493	1	cdc ’s work tanzania	HELP_HEAL_CARE_CURE	save lives programs reduce mother - to - child hiv transmission suppo
516	cdc_cancer cdcchronic ** KNOW ** even cold weather sun damage skin	cdc_cancer cdcchronic ** KNOW ** even cold weather sun damage skin	1568	1	cdc_cancer cdcchronic	KNOW	even cold weather sun damage skin
517	cdc_cancer cdcenvironment ** FLATTEN_SMOOTHEN ** home	cdc_cancer cdcenvironment ** FLATTEN_SMOOTHEN ** home	1416	1	cdc_cancer cdcenvironment	FLATTEN_SMOOTHEN	home
518	cdcfightsar working innovators ** FIND ** test scale strategies protect people fro	cdcfightsar working innovators ** FIND ** test scale strategies protect people fro	1569	1	cdcfightsar working innovators	FIND	test scale strategies protect people fro
519	center disease control ** SPEAK ** immediate health risk virus poses american publ	center disease control ** SPEAK ** immediate health risk virus poses american publ	923	1	center disease control	SPEAK	immediate health risk virus poses american publ
520	chairman committee ** WATCH_LOOK-OUT ** public health i monitoring situation	chairman committee ** WATCH_LOOK-OUT ** public health i monitoring situation	1351	2	chairman committee	WATCH_LOOK-OUT	public health i monitoring situation
521	chairman committee ** WATCH_LOOK-OUT ** public health i monitoring situation	chairman pallone ** AFFIRM ** hearing till focus companies ' marketing practices public health implications thei	1351	2	chairman committee	WATCH_LOOK-OUT	public health i monitoring situation
522	chairman xi ** RECOGNIZE_ADMIT_IDENTIFY ** wuhan outbreak this means became big cover	beijing ’s response epidemic crisis ** AMELIORATE ** ways	530	16	chairman xi	RECOGNIZE_ADMIT_IDENTIFY	wuhan outbreak this means became big cover
523	chairman xi ** RECOGNIZE_ADMIT_IDENTIFY ** wuhan outbreak this means became big cover	beijing ’s response epidemic crisis improved ways ** RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND ** others	530	16	chairman xi	RECOGNIZE_ADMIT_IDENTIFY	wuhan outbreak this means became big cover
524	chairman xi ** RECOGNIZE_ADMIT_IDENTIFY ** wuhan outbreak this means became big cover	chairman xi ** RECOGNIZE_ADMIT_IDENTIFY ** wuhan outbreak this means became big cover	530	16	chairman xi	RECOGNIZE_ADMIT_IDENTIFY	wuhan outbreak this means became big cover
525	charles chiu @cychiu98 ** SPEAK ** we 're	charles chiu @cychiu98 ** SPEAK ** we 're	1598	3	charles chiu @cychiu98	SPEAK	we 're
526	children ** TREAT ** others	children ** TREAT ** others	1467	2	children	TREAT	others
527	chile markeith ** REQUIRE_NEED_WANT_HOPE ** return start	chile markeith ** REQUIRE_NEED_WANT_HOPE ** return start	1693	1	chile markeith	REQUIRE_NEED_WANT_HOPE	return start
528	china ** ABSTAIN_AVOID_REFRAIN ** problem	china ** ABSTAIN_AVOID_REFRAIN ** problem	280	2	china	ABSTAIN_AVOID_REFRAIN	problem
529	china ** ABSTAIN_AVOID_REFRAIN ** problem	china ** CONTINUE ** avoiding problem	280	2	china	ABSTAIN_AVOID_REFRAIN	problem
530	china ** AFFIRM ** 440 cases 9 deaths 13 provinces regions	china ** AFFIRM ** 440 cases 9 deaths 13 provinces regions	580	2	china	AFFIRM	440 cases 9 deaths 13 provinces regions
531	china ** AFFIRM ** 440 cases 9 deaths 13 provinces regions	china ** KILL ** least six pe	580	2	china	AFFIRM	440 cases 9 deaths 13 provinces regions
532	china ** BEGIN ** emergency coordination mask	china ** BEGIN ** emergency coordination mask	535	4	china	BEGIN	emergency coordination mask
533	china ** BEGIN ** holding back ships calling city wuhan major trade hub yangtze river	china ** BEGIN ** holding back ships calling city wuhan major trade hub yangtze river	536	1	china	BEGIN	holding back ships calling city wuhan major trade hub yangtze river
534	china ** BID ** global health trying control coronavirus narrative	china ** BID ** global health trying control coronavirus narrative	848	1	china	BID	global health trying control coronavirus narrative
535	china ** CAGE_IMPRISON ** people posted online	china ** CAGE_IMPRISON ** people posted online	281	4	china	CAGE_IMPRISON	people posted online
536	china ** CAGE_IMPRISON ** people posted online	china 's internet police ** STOP ** attem	281	4	china	CAGE_IMPRISON	people posted online
537	china ** CAGE_IMPRISON ** people posted online	china censoring criticism ** CAGE_IMPRISON ** people spreading calls “ rumors	281	4	china	CAGE_IMPRISON	people posted online
538	china ** CAGE_IMPRISON ** people posted online	chinese government ** CAGE_IMPRISON ** peop	281	4	china	CAGE_IMPRISON	people posted online
539	china ** CALCULATE_ESTIMATE ** number people infected	china ** CALCULATE_ESTIMATE ** number people infected	849	1	china	CALCULATE_ESTIMATE	number people infected
540	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	11 million people ** CANCEL_ELIMINATE ** wuhan china	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
541	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	breaking china ** CANCEL_ELIMINATE ** 20 million people 3 cities	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
542	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** 11 million people in wuhan	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
543	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
544	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** 20 million people 3 cities	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
545	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** city	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
546	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** everyone	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
547	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** several cities	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
548	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	china ** CANCEL_ELIMINATE ** two more cities	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
549	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	chinese officials ** CANCEL_ELIMINATE ** 3 cities	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
550	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	the chinese government ** CANCEL_ELIMINATE ** city	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
551	china ** CANCEL_ELIMINATE ** 11 million people wuhan city	the chinese government ** CANCEL_ELIMINATE ** wuhan city 11 million people complete	572	35	china	CANCEL_ELIMINATE	11 million people wuhan city
552	china ** CHASE ** many initial cases large seafood market wuhan city	china ** CHASE ** many initial cases large seafood market wuhan city	320	2	china	CHASE	many initial cases large seafood market wuhan city
553	china ** CHASE ** many initial cases large seafood market wuhan city	china ** FIGHT ** food shops	320	2	china	CHASE	many initial cases large seafood market wuhan city
554	china ** CHOOSE ** world	china ** CHOOSE ** world	282	3	china	CHOOSE	world
555	china ** CHOOSE ** world	china ** INFLUENCE ** @who exclude taiwan talk world “ invaluable leader	282	3	china	CHOOSE	world
556	china ** CHOOSE ** world	china ** STOP ** pressuring @who exclude taiwan talk world “ invaluable leader	282	3	china	CHOOSE	world
557	china ** CREATE_MATERIALIZE ** new surveillance plan epidemic cases pneumonitis infections disease investigation plan	china ** CREATE_MATERIALIZE ** new surveillance plan epidemic cases pneumonitis infections disease investigation plan	693	1	china	CREATE_MATERIALIZE	new surveillance plan epidemic cases pneumonitis infections disease investigation plan
558	china ** ESTABLISH ** another epidemic	china ** ESTABLISH ** another epidemic	763	1	china	ESTABLISH	another epidemic
559	china ** FACE_CHALLENGE ** coronavirus outbreak hospitals	china ** FACE_CHALLENGE ** coronavirus outbreak hospitals	725	4	china	FACE_CHALLENGE	coronavirus outbreak hospitals
560	china ** FACE_CHALLENGE ** coronavirus outbreak hospitals	china ** PLAN_SCHEDULE ** build hospital within six days wuhan deal coronovirus cases 30.527219 114.0886	725	4	china	FACE_CHALLENGE	coronavirus outbreak hospitals
561	china ** FACE_CHALLENGE ** coronavirus outbreak hospitals	chinacoronavirus — hospitals wuhan ** NAME ** donations	725	4	china	FACE_CHALLENGE	coronavirus outbreak hospitals
562	china ** FACE_CHALLENGE ** coronavirus outbreak hospitals	i ** WRITE ** relationship wuhan coronovirus outbreak china 's push feed urbaniza	725	4	china	FACE_CHALLENGE	coronavirus outbreak hospitals
563	china ** FACE_CHALLENGE ** social media backlash	china ** FACE_CHALLENGE ** social media backlash	283	1	china	FACE_CHALLENGE	social media backlash
564	china ** GUARANTEE_ENSURE_PROMISE ** 11 million wuhan home	china ** GUARANTEE_ENSURE_PROMISE ** 11 million wuhan home	213	2	china	GUARANTEE_ENSURE_PROMISE	11 million wuhan home
565	china ** GUARANTEE_ENSURE_PROMISE ** 11 million wuhan home	chinese cities ** GUARANTEE_ENSURE_PROMISE ** 3	213	2	china	GUARANTEE_ENSURE_PROMISE	11 million wuhan home
566	china ** GUARANTEE_ENSURE_PROMISE ** 11 million wuhan home deadly virus	china ** GUARANTEE_ENSURE_PROMISE ** 11 million wuhan home deadly virus	811	2	china	GUARANTEE_ENSURE_PROMISE	11 million wuhan home deadly virus
567	china ** LIBERATE_ALLOW_AFFORD ** details	china ** LIBERATE_ALLOW_AFFORD ** details	321	5	china	LIBERATE_ALLOW_AFFORD	details
568	china ** LIBERATE_ALLOW_AFFORD ** details	china ’s finance ministry ** LOAD_PROVIDE_CHARGE_FURNISH ** cyn 1b relief funds	321	5	china	LIBERATE_ALLOW_AFFORD	details
569	china ** MAKE-A-SOUND ** critics	china ** MAKE-A-SOUND ** critics	322	3	china	MAKE-A-SOUND	critics
570	china ** MOVE-SOMETHING ** what	china ** MOVE-SOMETHING ** what	214	2	china	MOVE-SOMETHING	what
571	china ** MOVE-SOMETHING ** what	chinese officials ** MOVE-SOMETHING ** wuhan citizens	214	2	china	MOVE-SOMETHING	what
572	china ** PRECLUDE_FORBID_EXPEL ** criticism	china ** PRECLUDE_FORBID_EXPEL ** criticism	285	1	china	PRECLUDE_FORBID_EXPEL	criticism
573	china ** PUT_APPLY_PLACE_PAVE ** system	china ** PUT_APPLY_PLACE_PAVE ** strict transportation restrictions	323	8	china	PUT_APPLY_PLACE_PAVE	system
574	china ** PUT_APPLY_PLACE_PAVE ** system	china ** PUT_APPLY_PLACE_PAVE ** system	323	8	china	PUT_APPLY_PLACE_PAVE	system
575	china ** PUT_APPLY_PLACE_PAVE ** system	china - ** PUT_APPLY_PLACE_PAVE ** lockdown	323	8	china	PUT_APPLY_PLACE_PAVE	system
576	china ** PUT_APPLY_PLACE_PAVE ** system	chinese authorities ** PUT_APPLY_PLACE_PAVE ** entire city	323	8	china	PUT_APPLY_PLACE_PAVE	system
577	china ** RECOGNIZE_ADMIT_IDENTIFY ** sequences new pathogen	china ** RECOGNIZE_ADMIT_IDENTIFY ** sequences new pathogen	726	1	china	RECOGNIZE_ADMIT_IDENTIFY	sequences new pathogen
578	china ** RECORD ** local citizen	china ** RECORD ** local citizen	215	4	china	RECORD	local citizen
579	china ** RESTRAIN ** ships calling city wuhan major trade hub yangtze river	china ** RESTRAIN ** ships calling city wuhan major trade hub yangtze river	324	1	china	RESTRAIN	ships calling city wuhan major trade hub yangtze river
580	china ** SECURE_FASTEN_TIE ** cities	article china ** SECURE_FASTEN_TIE ** two cities	319	16	china	SECURE_FASTEN_TIE	cities
581	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** cities	319	16	china	SECURE_FASTEN_TIE	cities
582	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** entire city	319	16	china	SECURE_FASTEN_TIE	cities
583	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** second city	319	16	china	SECURE_FASTEN_TIE	cities
584	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** second city population	319	16	china	SECURE_FASTEN_TIE	cities
585	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** three cities — home	319	16	china	SECURE_FASTEN_TIE	cities
586	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** two cities epicentre	319	16	china	SECURE_FASTEN_TIE	cities
587	china ** SECURE_FASTEN_TIE ** cities	china ** SECURE_FASTEN_TIE ** whole city	319	16	china	SECURE_FASTEN_TIE	cities
588	china ** SLOW-DOWN ** even virus outbreak	china ** SLOW-DOWN ** even virus outbreak	764	1	china	SLOW-DOWN	even virus outbreak
589	china ** SPEND-TIME_PASS-TIME ** crucial first days	china ** SPEND-TIME_PASS-TIME ** crucial first days	216	1	china	SPEND-TIME_PASS-TIME	crucial first days
590	china 's ** FACE_CHALLENGE ** coronavirus - reports	china 's ** FACE_CHALLENGE ** coronavirus - reports	851	1	china 's	FACE_CHALLENGE	coronavirus - reports
591	china 's ability ** COMPARE ** human health agricul	china 's ability ** COMPARE ** human health agricul	538	1	china 's ability	COMPARE	human health agricul
592	china 's coronavirus crisis ** REPRESENT ** global emergency	china 's coronavirus crisis ** REPRESENT ** global emergency	853	1	china 's coronavirus crisis	REPRESENT	global emergency
593	china 's hubei province ** DECREE_DECLARE ** death toll new coronavirus risen	china 's hubei province ** DECREE_DECLARE ** death toll new coronavirus risen	854	2	china 's hubei province	DECREE_DECLARE	death toll new coronavirus risen
594	china 's megacity ** FIGHT ** pneumonia outbreak	china 's megacity ** FIGHT ** pneumonia outbreak	539	2	china 's megacity	FIGHT	pneumonia outbreak
595	china 's megacity ** FIGHT ** pneumonia outbreak	chinese authorities ** MESS ** response viral pneumonia outbreak	539	2	china 's megacity	FIGHT	pneumonia outbreak
